breed,height_low_inches,height_high_inches,weight_low_lbs,weight_high_lbs,rank_2016,rank_2015,rank_2014,rank_2013,
Affenpinscher,9,12,8,12,149,136,144,143,
Afghan Hound,25,27,50,60,113,100,98,95,
Airedale Terrier,22,24,45,45,55,53,57,56,
Akita,26,28,80,120,46,46,46,45,
Alaskan Malamute,,,,,59,54,54,57,
American English Coonhound,,,,,170,166,156,146,
American Eskimo,9,19,25,30,122,118,120,110,
American Foxhound,22,25,65,70,189,181,180,176,
AmericanHairlessTerrier,,,,,106,,,,
American Staffordshire Terrier,17,19,40,50,81,77,84,76,
,,,,,,,,,
,,,,,,,,,
